az01,Arizona,1,Tom O'Halleran,D,Tom O'Halleran,O'Halleran,Wendy Rogers ,Rogers
az02,Arizona,2,Martha McSally,R,Ann Kirkpatrick ,Kirkpatrick,Lea Marquez Peterson,Peterson
az06,Arizona ,6,David Schweikert,R,,,David Schweikert,Schweikert
az09,Arizona,9,Kyrsten Sinema,D,Greg Stanton,Stanton,Steve Ferrara ,Ferrara
ar02 ,Arkansas,2,French Hill,R,Clarke Tucker,Tucker,French Hill,Hill
ca04,California,4,Tom McClintock,R,Jessica Morse,Morse,Tom McClintock,McClintock
ca07,California,7,Ami Bera,D,Ami Bera,Bera,Andrew Grant,Grant
ca10,California,10,Jeff Denham,R,Josh Harder,Harder,Jeff Denham,Denham
ca21,California,21,David Valadao,R,TJ Cox,Cox,David Valadao,Valadao
ca25,California,25,Stephen Knight,R,Katie Hill,Hill,Stephen Knight,Knight
ca39,California,39,Edward Royce,R,Gil Cisneros,Cisneros,Young Kim,Kim
ca45,California,45,Mimi Walters,R,Katie Porter,Porter,Mimi Walters,Walters
ca48,California,48,Dana Rohrabacher,R,Harley Rouda,Rouda,Dana Rohrabacher,Rohrabacher
ca49,California,49,Darrell Issa,R,Mike Levin,Levin,Diane Harkey,Harkey
ca50,California,50,Duncan Hunter,R,Ammar Campa-Najjar,Campa-Najjar,Duncan Hunter,Hunter
co06,Colorado,6,Mike Coffman,R,Jason Crow ,Crow,Mike Coffman,Coffman
ct05,Connecticut,5,Elizabeth Esty,D,Jahana Hayes ,Hayes,Manny Santos ,Santos
fl07,Florida,7,Stephanie Murphy,D,Stephanie Murphy,Murphy,Mike Miller ,Miller
fl15,Florida,15,Dennis Ross,R,Kristen Carlson,Carlson,Ross Spano,Spano
fl16,Florida,16,Vern Buchanan,R,Vern Buchanan,Buchanan,David Shapiro,Shapiro
fl18,Florida,18,Brian Mast,R,Lauren Baer,Baer,Brian Mast,Mast
fl25,Florida,25,Mario Diaz-Balart,R,Mary Barzee Flores,Flores,Mario Diaz-Balart ,Diaz-Balart 
fl26,Florida,26,Carlos Curbelo,R,Debbie Mucarsel-Powell,Mucarsel-Powell,Carlos Curbelo,Curbelo
fl27,Florida,27,Ileana Ros-Lehtinen,R,Donna Shalala,Shalala,Maria Elvira Salazar,Salazar
ga06,Georgia,6,Karen Handel,R,Lucy McBath,McBath,Karen Handel,Handel
ga07,Georgia,7,Rob Woodall,R,Carolyn Bourdeaux,Bourdeaux,Rob Woodall,Woodall
ia01,Iowa,1,Rod Blum,R,Abby Finkenauer,Finkenauer,Rod Blum,Blum
ia03,Iowa,3,David Young,R,Cindy Axne,Axne,David Young,Young
il06,Illinois,6,Peter Roskam,R,Sean Casten,Casten,Peter Roskam,Roskam
il12,Illinois,12,Mike Bost,R,Brendan Kelly,Kelly,Mike Bost,Bost
il13,Illinois,13,Rodney Davis,R,Betsy Londrigan,Londrigan,Rodney Davis,Davis
il14,Illinois,14,Randy Hultgren ,R,Lauren Underwood,Underwood,Randy Hultgren ,Hultgren
in02,Indiana,2,Jackie Walorski,R,Mel Hall,Hall,Jackie Walorski,Walorski
ks02,Kansas,2,Lynn Jenkins,R,Paul Davis,Davis, Steve Watkins,Watkins
ks03,Kansas,3,Kevin Yoder,R,Sharice Davids,Davids,Kevin Yoder,Yoder
ky06,Kentucky,6,Andy Barr,R,Amy McGrath,McGrath,Andy Barr,Barr
me02,Maine,2,Bruce Poliquin,R,Jared Golden ,Golden ,Bruce Poliquin,Poliquin
mi01,Michigan,1,Jack Bergman,R,Matt Morgan,Morgan,Jack Bergman,Bergman
mi06,Michigan,6,Fred Upton,R,Matt Longjohn,Longjohn,Fred Upton,Upton
mi07,Michigan,7,Tim Walberg,R,Gretchen Driskell ,Driskell,Tim Walberg,Walberg
mi08,Michigan,8,Mike Bishop,R,Elissa Slotkin,Slotkin,Mike Bishop,Bishop
mi11,Michigan,11,David Trott,R,Haley Stevens,Stevens,Lena Epstein,Epstein
mn01,Minnesota ,1,Tim Walz,D,Dan Feehan , Feehan ,Jim Hagedorn,Hagedorn
mn02,Minnesota ,2,Jason Lewis,R,Angie Craig ,Craig,Jason Lewis,Lewis
mn03,Minnesota ,3,Erik Paulsen,R,Dean Phillips,Phillips,Erik Paulsen,Paulsen
mn07,Minnesota ,7,Collin Peterson,D,Collin Peterson,Peterson,Dave Hughes,Hughes
mn08,Minnesota ,8, Rick Nolan,D,Joe Radinovich,Radinovich,Pete Stauber,Stauber
mo02,Missouri,2,Ann Wagner,R,Cort VanOstran,VanOstran,Ann Wagner,Wagner
mt00,Montana,0,Greg Gianforte ,R, Kathleen Williams,Williams,Greg Gianforte ,Gianforte
nc02,North Carolina,2,George Holding,R,Linda Coleman,Coleman,George Holding,Holding
nc08,North Carolina,8,Richard Hudson,R,Frank McNeill,McNeill,Richard Hudson,Hudson
nc09,North Carolina,9,Robert Pittenger,R,Dan McCready,McCready,Mark Harris,Harris
nc13,North Carolina,13,Ted Budd,R,Kathy Manning,Manning,Ted Budd ,Budd
ne02,Nevada,2,Mark Amodei,R,Clint Koble,Koble,Mark Amodei,Amodei
nh01,New Hampshire,1,Carol Shea-Porter,D,,,,
nh02,New Hampshire,2, Ann McLane Kuster,D,,,,
nj02,New Jersey,2,Frank LoBiondo,R,Jeff Van Drew,Van Drew,Seth Grossman,Grossman
nj03,New Jersey,3,Tom MacArthur,R,Andrew Kim,Kim,Tom MacArthur,MacArthur
nj05,New Jersey,5,Josh Gottheimer,D,Josh Gottheimer,Gottheimer,John McCann,McCann
nj07,New Jersey,7,Leonard Lance,R,Tom Malinowski,Malinowski,Leonard Lance,Lance
nj11,New Jersey,11,Rodney Frelinghuysen,R,Mikie Sherrill,Sherrill,Jay Webber,Webber
nm02,New Mexico,2,Steve Pearce,R,Xochitl Torres Small,Torres Small,Yvette Herrell,Herrell
nv03,Nevada,3,Jacky Rosen,D,Susie Lee,Lee,Danny Tarkanian,Tarkanian
nv04,Nevada,4,Ruben Kihuen,D,Steven Horsford,Horsford,Cresent Hardy,Hardy
ny01,New York,1,Lee Zeldin,R,Perry Gershon,Gershon,Lee Zeldin,Zeldin
ny11,New York,11,Daniel Donovan,R,Max Rose,Rose,Daniel Donovan,Donovan
ny19,New York,19,John Faso,R,Antonio Delgado,Delgado,John Faso ,Faso
ny22,New York,22,Claudia Tenney,R,Anthony Brindisi,Brindisi,Claudia Tenney,Tenney
ny24,New York,24,John Katko,R,Dana Balter,Balter,John Katko,Katko
oh01,Ohio,1,Steve Chabot,R,Aftab Pureval,Pureval,Steve Chabot,Chabot
oh10,Ohio,10,Michael Turner,R,Theresa Gasper,Gasper,Michael Turner,Turner
oh12,Ohio,12,vacant,,Danny O'Connor,Gasper,Troy Balderson,Balderson
oh14,Ohio,14,David Joyce,R,Betsy Rader,Rader,David Joyce ,Joyce
oh15,Ohio,15,Steve Stivers,R,Rick Neal,Neal,Steve Stivers,Stivers
pa01,Pennsylvania,1,Robert Brady,D,Scott Wallace,Wallace,Brian Fitzpatrick,Fitzpatrick
pa05,Pennsylvania,5,Glenn Thompson,R,Mary Gay Scanlon,Scanlon,Pearl Kim,Kim
pa06,Pennsylvania,6,Ryan Costello,R,Chrissy Houlahan,Houlahan,Greg McCauley,McCauley
pa07,Pennsylvania,7,vacant,,Susan Wild,Wild,Marty Nothstein,Nothstein
pa08,Pennsylvania,8,Brian Fitzpatrick,R,Matt Cartwright,Cartwright,John Chrin,Chrin
pa10,Pennsylvania,10,Tom Marino,R,George Scott,Scott,Scott Perry,Perry
pa14,Pennsylvania,14,Michael Doyle,D,Bibiana Boerio,Boerio,Guy Reschenthaler,Reschenthaler
pa16,Pennsylvania,16,Lloyd Smucker,R,Ronald DiNicola,DiNicola,Mike Kelly,Kelly
pa17,Pennsylvania,17,Matt Cartwright,D,Conor Lamb,Lamb,Keith Rothfus,Rothfus
sc01,South Carolina,1,Mark Sanford,R,Joe Cunningham,Cunningham,Katie Arrington,Arrington
sc05,South Carolina,5,Ralph Norman,R,Archie Parnell,Parnell,Ralph Norman,Norman
tx07,Texas,7,John Culberson,R,Lizzie Pannill Fletcher,Fletcher,John Culberson ,Culberson
tx21,Texas,21,Lamar Smith,R,Joseph Kopser,Kopser, Chip Roy,Roy
tx23,Texas,23,Will Hurd,R,Gina Ortiz Jones,Ortiz Jones,Will Hurd ,Hurd
tx32,Texas,32,Pete Sessions,R,Colin Allred,Allred,Pete Sessions ,Sessions
ut04,Utah,4,Mia Love,R,Ben McAdams,McAdams,Mia Love,Love
va02,Virginia,2,Scott Taylor,R,Elaine Luria,Luria,Scott Taylor,Taylor
va05,Virginia,5,Tom Garrett,R,Leslie Cockburn,Cockburn,Denver Riggleman ,Riggleman
va07,Virginia,7,David Brat,R,Abigail Spanberger ,Spanberger,David Brat,Brat
va10,Virginia,10,Barbara Comstock,R,Jennifer Wexton,Wexton,Barbara Comstock,Comstock
wa03,Washington,3,Jaime Herrera Beutler,R, Carolyn Long,Long,Jaime Herrera Beutler,Beutler
wa05,Washington,5,Cathy McMorris Rodgers,R,Lisa Brown ,Brown,Cathy McMorris Rodgers,Rodgers
wa08,Washington,8,Dave Reichert,R,Kim Schrier,Schrier,Dave Reichert,Reichert
wi01,Wisconsin,1,Paul Ryan,R,Randy Bryce,Bryce,Bryan Steil,Steil
wi03,Wisconsin,3,Ron Kind,D,Steve Toft,Toft,Ron Kind,Kind
wi06,Wisconsin,6,Glenn Grothman,R,Dan Kohl ,Kohl,Glenn Grothman,Grothman
